c_symbol,python_class,method,owning_class,binding_kind
EffectController_AddAlphaKey,AnimTSParticleController,AddAlphaKey,EffectController,direct
EffectController_AddColorKey,AnimTSParticleController,AddColorKey,EffectController,direct
EffectController_AddSizeKey,AnimTSParticleController,AddSizeKey,EffectController,direct
EffectController_AttachEffect,AnimTSParticleController,AttachEffect,EffectController,direct
EffectController_CreateTarget,AnimTSParticleController,CreateTarget,EffectController,direct
EffectController_DetachEffect,AnimTSParticleController,DetachEffect,EffectController,direct
EffectController_GetEffectLifeTime,AnimTSParticleController,GetEffectLifeTime,EffectController,direct
GetEmitFromObject,AnimTSParticleController,GetEmitFromObject,,python_wrapper
GetTargetCast,AnimTSParticleController,GetTargetCast,,python_wrapper
EffectController_RemoveAllAlphaKeys,AnimTSParticleController,RemoveAllAlphaKeys,EffectController,direct
EffectController_RemoveAllColorKeys,AnimTSParticleController,RemoveAllColorKeys,EffectController,direct
EffectController_RemoveAllSizeKeys,AnimTSParticleController,RemoveAllSizeKeys,EffectController,direct
EmitterController_SetAngleVariance,AnimTSParticleController,SetAngleVariance,EmitterController,direct
EmitterController_SetDamping,AnimTSParticleController,SetDamping,EmitterController,direct
EmitterController_SetDetachEmitObject,AnimTSParticleController,SetDetachEmitObject,EmitterController,direct
AnimTSParticleController_SetDrawOldToNew,AnimTSParticleController,SetDrawOldToNew,AnimTSParticleController,direct
EffectController_SetEffectLifeTime,AnimTSParticleController,SetEffectLifeTime,EffectController,direct
EmitterController_SetEmitFrequency,AnimTSParticleController,SetEmitFrequency,EmitterController,direct
EmitterController_SetEmitFrequencyVariance,AnimTSParticleController,SetEmitFrequencyVariance,EmitterController,direct
EmitterController_SetEmitFromObject,AnimTSParticleController,SetEmitFromObject,EmitterController,direct
EmitterController_SetEmitLife,AnimTSParticleController,SetEmitLife,EmitterController,direct
EmitterController_SetEmitLifeVariance,AnimTSParticleController,SetEmitLifeVariance,EmitterController,direct
EmitterController_SetEmitPositionAndDirection,AnimTSParticleController,SetEmitPositionAndDirection,EmitterController,direct
EmitterController_SetEmitRadius,AnimTSParticleController,SetEmitRadius,EmitterController,direct
EmitterController_SetEmitVelocity,AnimTSParticleController,SetEmitVelocity,EmitterController,direct
EmitterController_SetEmitVelocityVariance,AnimTSParticleController,SetEmitVelocityVariance,EmitterController,direct
EmitterController_SetGravity,AnimTSParticleController,SetGravity,EmitterController,direct
EmitterController_SetInheritsVelocity,AnimTSParticleController,SetInheritsVelocity,EmitterController,direct
EffectController_SetTargetAlphaBlendModes,AnimTSParticleController,SetTargetAlphaBlendModes,EffectController,direct
EffectController_AddAlphaKey,AnimTSParticleControllerPtr,AddAlphaKey,EffectController,direct
EffectController_AddColorKey,AnimTSParticleControllerPtr,AddColorKey,EffectController,direct
EffectController_AddSizeKey,AnimTSParticleControllerPtr,AddSizeKey,EffectController,direct
EffectController_AttachEffect,AnimTSParticleControllerPtr,AttachEffect,EffectController,direct
EffectController_CreateTarget,AnimTSParticleControllerPtr,CreateTarget,EffectController,direct
EffectController_DetachEffect,AnimTSParticleControllerPtr,DetachEffect,EffectController,direct
EffectController_GetEffectLifeTime,AnimTSParticleControllerPtr,GetEffectLifeTime,EffectController,direct
GetEmitFromObject,AnimTSParticleControllerPtr,GetEmitFromObject,,python_wrapper
GetTargetCast,AnimTSParticleControllerPtr,GetTargetCast,,python_wrapper
EffectController_RemoveAllAlphaKeys,AnimTSParticleControllerPtr,RemoveAllAlphaKeys,EffectController,direct
EffectController_RemoveAllColorKeys,AnimTSParticleControllerPtr,RemoveAllColorKeys,EffectController,direct
EffectController_RemoveAllSizeKeys,AnimTSParticleControllerPtr,RemoveAllSizeKeys,EffectController,direct
EmitterController_SetAngleVariance,AnimTSParticleControllerPtr,SetAngleVariance,EmitterController,direct
EmitterController_SetDamping,AnimTSParticleControllerPtr,SetDamping,EmitterController,direct
EmitterController_SetDetachEmitObject,AnimTSParticleControllerPtr,SetDetachEmitObject,EmitterController,direct
AnimTSParticleController_SetDrawOldToNew,AnimTSParticleControllerPtr,SetDrawOldToNew,AnimTSParticleController,direct
EffectController_SetEffectLifeTime,AnimTSParticleControllerPtr,SetEffectLifeTime,EffectController,direct
EmitterController_SetEmitFrequency,AnimTSParticleControllerPtr,SetEmitFrequency,EmitterController,direct
EmitterController_SetEmitFrequencyVariance,AnimTSParticleControllerPtr,SetEmitFrequencyVariance,EmitterController,direct
EmitterController_SetEmitFromObject,AnimTSParticleControllerPtr,SetEmitFromObject,EmitterController,direct
EmitterController_SetEmitLife,AnimTSParticleControllerPtr,SetEmitLife,EmitterController,direct
EmitterController_SetEmitLifeVariance,AnimTSParticleControllerPtr,SetEmitLifeVariance,EmitterController,direct
EmitterController_SetEmitPositionAndDirection,AnimTSParticleControllerPtr,SetEmitPositionAndDirection,EmitterController,direct
EmitterController_SetEmitRadius,AnimTSParticleControllerPtr,SetEmitRadius,EmitterController,direct
EmitterController_SetEmitVelocity,AnimTSParticleControllerPtr,SetEmitVelocity,EmitterController,direct
EmitterController_SetEmitVelocityVariance,AnimTSParticleControllerPtr,SetEmitVelocityVariance,EmitterController,direct
EmitterController_SetGravity,AnimTSParticleControllerPtr,SetGravity,EmitterController,direct
EmitterController_SetInheritsVelocity,AnimTSParticleControllerPtr,SetInheritsVelocity,EmitterController,direct
EffectController_SetTargetAlphaBlendModes,AnimTSParticleControllerPtr,SetTargetAlphaBlendModes,EffectController,direct
CallExternalFunction,ArtificialIntelligence,CallExternalFunction,,python_wrapper
GetAllAIsInTree,ArtificialIntelligence,GetAllAIsInTree,,python_wrapper
GetFocusAIs,ArtificialIntelligence,GetFocusAIs,,python_wrapper
ArtificialIntelligence_GetID,ArtificialIntelligence,GetID,ArtificialIntelligence,direct
ArtificialIntelligence_GetName,ArtificialIntelligence,GetName,ArtificialIntelligence,direct
GetObject,ArtificialIntelligence,GetObject,,python_wrapper
GetShip,ArtificialIntelligence,GetShip,,python_wrapper
ArtificialIntelligence_HasFocus,ArtificialIntelligence,HasFocus,ArtificialIntelligence,direct
ArtificialIntelligence_IsActive,ArtificialIntelligence,IsActive,ArtificialIntelligence,direct
ArtificialIntelligence_IsInterruptable,ArtificialIntelligence,IsInterruptable,ArtificialIntelligence,direct
ArtificialIntelligence_IsPaused,ArtificialIntelligence,IsPaused,ArtificialIntelligence,direct
ArtificialIntelligence_Pause,ArtificialIntelligence,Pause,ArtificialIntelligence,direct
RegisterExternalFunction,ArtificialIntelligence,RegisterExternalFunction,,python_wrapper
ArtificialIntelligence_Reset,ArtificialIntelligence,Reset,ArtificialIntelligence,direct
ArtificialIntelligence_SetInterruptable,ArtificialIntelligence,SetInterruptable,ArtificialIntelligence,direct
ArtificialIntelligence_Unpause,ArtificialIntelligence,Unpause,ArtificialIntelligence,direct
UnregisterExternalFunction,ArtificialIntelligence,UnregisterExternalFunction,,python_wrapper
CallExternalFunction,ArtificialIntelligencePtr,CallExternalFunction,,python_wrapper
GetAllAIsInTree,ArtificialIntelligencePtr,GetAllAIsInTree,,python_wrapper
GetFocusAIs,ArtificialIntelligencePtr,GetFocusAIs,,python_wrapper
ArtificialIntelligence_GetID,ArtificialIntelligencePtr,GetID,ArtificialIntelligence,direct
ArtificialIntelligence_GetName,ArtificialIntelligencePtr,GetName,ArtificialIntelligence,direct
GetObject,ArtificialIntelligencePtr,GetObject,,python_wrapper
GetShip,ArtificialIntelligencePtr,GetShip,,python_wrapper
ArtificialIntelligence_HasFocus,ArtificialIntelligencePtr,HasFocus,ArtificialIntelligence,direct
ArtificialIntelligence_IsActive,ArtificialIntelligencePtr,IsActive,ArtificialIntelligence,direct
ArtificialIntelligence_IsInterruptable,ArtificialIntelligencePtr,IsInterruptable,ArtificialIntelligence,direct
ArtificialIntelligence_IsPaused,ArtificialIntelligencePtr,IsPaused,ArtificialIntelligence,direct
ArtificialIntelligence_Pause,ArtificialIntelligencePtr,Pause,ArtificialIntelligence,direct
RegisterExternalFunction,ArtificialIntelligencePtr,RegisterExternalFunction,,python_wrapper
ArtificialIntelligence_Reset,ArtificialIntelligencePtr,Reset,ArtificialIntelligence,direct
ArtificialIntelligence_SetInterruptable,ArtificialIntelligencePtr,SetInterruptable,ArtificialIntelligence,direct
ArtificialIntelligence_Unpause,ArtificialIntelligencePtr,Unpause,ArtificialIntelligence,direct
UnregisterExternalFunction,ArtificialIntelligencePtr,UnregisterExternalFunction,,python_wrapper
TGEventHandlerObject_AddPythonFuncHandlerForInstance,AsteroidField,AddPythonFuncHandlerForInstance,TGEventHandlerObject,direct
TGEventHandlerObject_AddPythonMethodHandlerForInstance,AsteroidField,AddPythonMethodHandlerForInstance,TGEventHandlerObject,direct
ObjectClass_AlignToObject,AsteroidField,AlignToObject,ObjectClass,direct
BaseObjectClass_AlignToVectors,AsteroidField,AlignToVectors,BaseObjectClass,direct
BaseObjectClass_AttachObject,AsteroidField,AttachObject,BaseObjectClass,direct
TGEventHandlerObject_CallNextHandler,AsteroidField,CallNextHandler,TGEventHandlerObject,direct
ObjectClass_CanTargetObject,AsteroidField,CanTargetObject,ObjectClass,direct
TGObject_Destroy,AsteroidField,Destroy,TGObject,direct
BaseObjectClass_DetachObject,AsteroidField,DetachObject,BaseObjectClass,direct
GetAnimNode,AsteroidField,GetAnimNode,,python_wrapper
AsteroidField_GetAsteroidSizeFactor,AsteroidField,GetAsteroidSizeFactor,AsteroidField,direct
TGAttrObject_GetAttrInt,AsteroidField,GetAttrInt,TGAttrObject,direct
TGAttrObject_GetAttrValue,AsteroidField,GetAttrValue,TGAttrObject,direct
ObjectClass_GetCollisionFlags,AsteroidField,GetCollisionFlags,ObjectClass,direct
GetContainingSet,AsteroidField,GetContainingSet,,python_wrapper
GetDisplayName,AsteroidField,GetDisplayName,,python_wrapper
AsteroidField_GetInnerFieldRadius,AsteroidField,GetInnerFieldRadius,AsteroidField,direct
ObjectClass_GetLocalRandomPointAndNormalOnModel,AsteroidField,GetLocalRandomPointAndNormalOnModel,ObjectClass,direct
BaseObjectClass_GetName,AsteroidField,GetName,BaseObjectClass,direct
GetNiObject,AsteroidField,GetNiObject,,python_wrapper
GetNode,AsteroidField,GetNode,,python_wrapper
AsteroidField_GetNumAsteroidsPerTile,AsteroidField,GetNumAsteroidsPerTile,AsteroidField,direct
TGObject_GetObjID,AsteroidField,GetObjID,TGObject,direct
TGObject_GetObjType,AsteroidField,GetObjType,TGObject,direct
AsteroidField_GetOuterFieldRadius,AsteroidField,GetOuterFieldRadius,AsteroidField,direct
ObjectClass_GetRadius,AsteroidField,GetRadius,ObjectClass,direct
GetRandomPointOnModel,AsteroidField,GetRandomPointOnModel,,python_wrapper
GetRelativePositionInfo,AsteroidField,GetRelativePositionInfo,,python_wrapper
GetRotation,AsteroidField,GetRotation,,python_wrapper
BaseObjectClass_GetScale,AsteroidField,GetScale,BaseObjectClass,direct
AsteroidField_GetTileSize,AsteroidField,GetTileSize,AsteroidField,direct
GetTranslate,AsteroidField,GetTranslate,,python_wrapper
GetWorldBackwardTG,AsteroidField,GetWorldBackwardTG,,python_wrapper
GetWorldDownTG,AsteroidField,GetWorldDownTG,,python_wrapper
GetWorldForwardTG,AsteroidField,GetWorldForwardTG,,python_wrapper
GetWorldLeftTG,AsteroidField,GetWorldLeftTG,,python_wrapper
GetWorldLocation,AsteroidField,GetWorldLocation,,python_wrapper
GetWorldRightTG,AsteroidField,GetWorldRightTG,,python_wrapper
GetWorldRotation,AsteroidField,GetWorldRotation,,python_wrapper
GetWorldUpTG,AsteroidField,GetWorldUpTG,,python_wrapper
ObjectClass_IsHailable,AsteroidField,IsHailable,ObjectClass,direct
BaseObjectClass_IsHidden,AsteroidField,IsHidden,BaseObjectClass,direct
ObjectClass_IsScannable,AsteroidField,IsScannable,ObjectClass,direct
AsteroidField_IsShipInside,AsteroidField,IsShipInside,AsteroidField,direct
ObjectClass_IsTargetable,AsteroidField,IsTargetable,ObjectClass,direct
TGObject_IsTypeOf,AsteroidField,IsTypeOf,TGObject,direct
ObjectClass_LineCollides,AsteroidField,LineCollides,ObjectClass,direct
TGAttrObject_LookupAttrInt,AsteroidField,LookupAttrInt,TGAttrObject,direct
TGAttrObject_LookupAttrValue,AsteroidField,LookupAttrValue,TGAttrObject,direct
TGTemplatedAttrObject_LookupLocalAttrValue,AsteroidField,LookupLocalAttrValue,TGTemplatedAttrObject,direct
ObjectClass_PlaceObjectByName,AsteroidField,PlaceObjectByName,ObjectClass,direct
TGObject_Print,AsteroidField,Print,TGObject,direct
TGEventHandlerObject_ProcessEvent,AsteroidField,ProcessEvent,TGEventHandlerObject,direct
ObjectClass_RandomOrientation,AsteroidField,RandomOrientation,ObjectClass,direct
ObjectClass_RefreshReplacedTextures,AsteroidField,RefreshReplacedTextures,ObjectClass,direct
TGEventHandlerObject_RemoveAllInstanceHandlers,AsteroidField,RemoveAllInstanceHandlers,TGEventHandlerObject,direct
TGAttrObject_RemoveAttr,AsteroidField,RemoveAttr,TGAttrObject,direct
TGEventHandlerObject_RemoveHandlerForInstance,AsteroidField,RemoveHandlerForInstance,TGEventHandlerObject,direct
ObjectClass_ReplaceTexture,AsteroidField,ReplaceTexture,ObjectClass,direct
BaseObjectClass_Rotate,AsteroidField,Rotate,BaseObjectClass,direct
BaseObjectClass_SetAngleAxisRotation,AsteroidField,SetAngleAxisRotation,BaseObjectClass,direct
AsteroidField_SetAsteroidSizeFactor,AsteroidField,SetAsteroidSizeFactor,AsteroidField,direct
TGAttrObject_SetAttrInt,AsteroidField,SetAttrInt,TGAttrObject,direct
TGAttrObject_SetAttrValue,AsteroidField,SetAttrValue,TGAttrObject,direct
ObjectClass_SetCollisionFlags,AsteroidField,SetCollisionFlags,ObjectClass,direct
BaseObjectClass_SetDeleteMe,AsteroidField,SetDeleteMe,BaseObjectClass,direct
BaseObjectClass_SetDisplayName,AsteroidField,SetDisplayName,BaseObjectClass,direct
ObjectClass_SetHailable,AsteroidField,SetHailable,ObjectClass,direct
BaseObjectClass_SetHidden,AsteroidField,SetHidden,BaseObjectClass,direct
AsteroidField_SetInnerFieldRadius,AsteroidField,SetInnerFieldRadius,AsteroidField,direct
BaseObjectClass_SetMatrixRotation,AsteroidField,SetMatrixRotation,BaseObjectClass,direct
BaseObjectClass_SetName,AsteroidField,SetName,BaseObjectClass,direct
AsteroidField_SetNumAsteroidsPerTile,AsteroidField,SetNumAsteroidsPerTile,AsteroidField,direct
AsteroidField_SetOuterFieldRadius,AsteroidField,SetOuterFieldRadius,AsteroidField,direct
BaseObjectClass_SetScale,AsteroidField,SetScale,BaseObjectClass,direct
ObjectClass_SetScannable,AsteroidField,SetScannable,ObjectClass,direct
BaseObjectClass_SetTranslate,AsteroidField,SetTranslate,BaseObjectClass,direct
BaseObjectClass_SetTranslateXYZ,AsteroidField,SetTranslateXYZ,BaseObjectClass,direct
AsteroidField_Update,AsteroidField,Update,AsteroidField,direct
BaseObjectClass_UpdateNodeOnly,AsteroidField,UpdateNodeOnly,BaseObjectClass,direct
TGEventHandlerObject_AddPythonFuncHandlerForInstance,AsteroidFieldPlacement,AddPythonFuncHandlerForInstance,TGEventHandlerObject,direct
TGEventHandlerObject_AddPythonMethodHandlerForInstance,AsteroidFieldPlacement,AddPythonMethodHandlerForInstance,TGEventHandlerObject,direct
ObjectClass_AlignToObject,AsteroidFieldPlacement,AlignToObject,ObjectClass,direct
BaseObjectClass_AlignToVectors,AsteroidFieldPlacement,AlignToVectors,BaseObjectClass,direct
BaseObjectClass_AttachObject,AsteroidFieldPlacement,AttachObject,BaseObjectClass,direct
TGEventHandlerObject_CallNextHandler,AsteroidFieldPlacement,CallNextHandler,TGEventHandlerObject,direct
ObjectClass_CanTargetObject,AsteroidFieldPlacement,CanTargetObject,ObjectClass,direct
AsteroidFieldPlacement_ConfigField,AsteroidFieldPlacement,ConfigField,AsteroidFieldPlacement,direct
TGObject_Destroy,AsteroidFieldPlacement,Destroy,TGObject,direct
BaseObjectClass_DetachObject,AsteroidFieldPlacement,DetachObject,BaseObjectClass,direct
FindContainingSet,AsteroidFieldPlacement,FindContainingSet,,python_wrapper
GetAnimNode,AsteroidFieldPlacement,GetAnimNode,,python_wrapper
AsteroidFieldPlacement_GetAsteroidSizeFactor,AsteroidFieldPlacement,GetAsteroidSizeFactor,AsteroidFieldPlacement,direct
TGAttrObject_GetAttrInt,AsteroidFieldPlacement,GetAttrInt,TGAttrObject,direct
TGAttrObject_GetAttrValue,AsteroidFieldPlacement,GetAttrValue,TGAttrObject,direct
ObjectClass_GetCollisionFlags,AsteroidFieldPlacement,GetCollisionFlags,ObjectClass,direct
GetContainingSet,AsteroidFieldPlacement,GetContainingSet,,python_wrapper
GetDisplayName,AsteroidFieldPlacement,GetDisplayName,,python_wrapper
GetField,AsteroidFieldPlacement,GetField,,python_wrapper
AsteroidFieldPlacement_GetFieldRadius,AsteroidFieldPlacement,GetFieldRadius,AsteroidFieldPlacement,direct
ObjectClass_GetLocalRandomPointAndNormalOnModel,AsteroidFieldPlacement,GetLocalRandomPointAndNormalOnModel,ObjectClass,direct
PlacementObject_GetModelName,AsteroidFieldPlacement,GetModelName,PlacementObject,direct
BaseObjectClass_GetName,AsteroidFieldPlacement,GetName,BaseObjectClass,direct
GetNiObject,AsteroidFieldPlacement,GetNiObject,,python_wrapper
GetNode,AsteroidFieldPlacement,GetNode,,python_wrapper
AsteroidFieldPlacement_GetNumAsteroidsPerTile,AsteroidFieldPlacement,GetNumAsteroidsPerTile,AsteroidFieldPlacement,direct
AsteroidFieldPlacement_GetNumTilesPerAxis,AsteroidFieldPlacement,GetNumTilesPerAxis,AsteroidFieldPlacement,direct
TGObject_GetObjID,AsteroidFieldPlacement,GetObjID,TGObject,direct
TGObject_GetObjType,AsteroidFieldPlacement,GetObjType,TGObject,direct
ObjectClass_GetRadius,AsteroidFieldPlacement,GetRadius,ObjectClass,direct
GetRandomPointOnModel,AsteroidFieldPlacement,GetRandomPointOnModel,,python_wrapper
GetRelativePositionInfo,AsteroidFieldPlacement,GetRelativePositionInfo,,python_wrapper
GetRotation,AsteroidFieldPlacement,GetRotation,,python_wrapper
BaseObjectClass_GetScale,AsteroidFieldPlacement,GetScale,BaseObjectClass,direct
GetTranslate,AsteroidFieldPlacement,GetTranslate,,python_wrapper
GetWorldBackwardTG,AsteroidFieldPlacement,GetWorldBackwardTG,,python_wrapper
GetWorldDownTG,AsteroidFieldPlacement,GetWorldDownTG,,python_wrapper
GetWorldForwardTG,AsteroidFieldPlacement,GetWorldForwardTG,,python_wrapper
GetWorldLeftTG,AsteroidFieldPlacement,GetWorldLeftTG,,python_wrapper
GetWorldLocation,AsteroidFieldPlacement,GetWorldLocation,,python_wrapper
GetWorldRightTG,AsteroidFieldPlacement,GetWorldRightTG,,python_wrapper
GetWorldRotation,AsteroidFieldPlacement,GetWorldRotation,,python_wrapper
GetWorldUpTG,AsteroidFieldPlacement,GetWorldUpTG,,python_wrapper
ObjectClass_IsHailable,AsteroidFieldPlacement,IsHailable,ObjectClass,direct
BaseObjectClass_IsHidden,AsteroidFieldPlacement,IsHidden,BaseObjectClass,direct
PlacementObject_IsNavPoint,AsteroidFieldPlacement,IsNavPoint,PlacementObject,direct
ObjectClass_IsScannable,AsteroidFieldPlacement,IsScannable,ObjectClass,direct
PlacementObject_IsStatic,AsteroidFieldPlacement,IsStatic,PlacementObject,direct
ObjectClass_IsTargetable,AsteroidFieldPlacement,IsTargetable,ObjectClass,direct
TGObject_IsTypeOf,AsteroidFieldPlacement,IsTypeOf,TGObject,direct
ObjectClass_LineCollides,AsteroidFieldPlacement,LineCollides,ObjectClass,direct
TGAttrObject_LookupAttrInt,AsteroidFieldPlacement,LookupAttrInt,TGAttrObject,direct
TGAttrObject_LookupAttrValue,AsteroidFieldPlacement,LookupAttrValue,TGAttrObject,direct
TGTemplatedAttrObject_LookupLocalAttrValue,AsteroidFieldPlacement,LookupLocalAttrValue,TGTemplatedAttrObject,direct
ObjectClass_PlaceObjectByName,AsteroidFieldPlacement,PlaceObjectByName,ObjectClass,direct
TGObject_Print,AsteroidFieldPlacement,Print,TGObject,direct
TGEventHandlerObject_ProcessEvent,AsteroidFieldPlacement,ProcessEvent,TGEventHandlerObject,direct
ObjectClass_RandomOrientation,AsteroidFieldPlacement,RandomOrientation,ObjectClass,direct
ObjectClass_RefreshReplacedTextures,AsteroidFieldPlacement,RefreshReplacedTextures,ObjectClass,direct
TGEventHandlerObject_RemoveAllInstanceHandlers,AsteroidFieldPlacement,RemoveAllInstanceHandlers,TGEventHandlerObject,direct
TGAttrObject_RemoveAttr,AsteroidFieldPlacement,RemoveAttr,TGAttrObject,direct
TGEventHandlerObject_RemoveHandlerForInstance,AsteroidFieldPlacement,RemoveHandlerForInstance,TGEventHandlerObject,direct
ObjectClass_ReplaceTexture,AsteroidFieldPlacement,ReplaceTexture,ObjectClass,direct
BaseObjectClass_Rotate,AsteroidFieldPlacement,Rotate,BaseObjectClass,direct
PlacementObject_SaveObject,AsteroidFieldPlacement,SaveObject,PlacementObject,direct
PlacementObject_SaveObjectSecondPass,AsteroidFieldPlacement,SaveObjectSecondPass,PlacementObject,direct
BaseObjectClass_SetAngleAxisRotation,AsteroidFieldPlacement,SetAngleAxisRotation,BaseObjectClass,direct
AsteroidFieldPlacement_SetAsteroidSizeFactor,AsteroidFieldPlacement,SetAsteroidSizeFactor,AsteroidFieldPlacement,direct
TGAttrObject_SetAttrInt,AsteroidFieldPlacement,SetAttrInt,TGAttrObject,direct
TGAttrObject_SetAttrValue,AsteroidFieldPlacement,SetAttrValue,TGAttrObject,direct
ObjectClass_SetCollisionFlags,AsteroidFieldPlacement,SetCollisionFlags,ObjectClass,direct
BaseObjectClass_SetDeleteMe,AsteroidFieldPlacement,SetDeleteMe,BaseObjectClass,direct
BaseObjectClass_SetDisplayName,AsteroidFieldPlacement,SetDisplayName,BaseObjectClass,direct
AsteroidFieldPlacement_SetFieldRadius,AsteroidFieldPlacement,SetFieldRadius,AsteroidFieldPlacement,direct
ObjectClass_SetHailable,AsteroidFieldPlacement,SetHailable,ObjectClass,direct
BaseObjectClass_SetHidden,AsteroidFieldPlacement,SetHidden,BaseObjectClass,direct
BaseObjectClass_SetMatrixRotation,AsteroidFieldPlacement,SetMatrixRotation,BaseObjectClass,direct
PlacementObject_SetModel,AsteroidFieldPlacement,SetModel,PlacementObject,direct
BaseObjectClass_SetName,AsteroidFieldPlacement,SetName,BaseObjectClass,direct
PlacementObject_SetNavPoint,AsteroidFieldPlacement,SetNavPoint,PlacementObject,direct
AsteroidFieldPlacement_SetNumAsteroidsPerTile,AsteroidFieldPlacement,SetNumAsteroidsPerTile,AsteroidFieldPlacement,direct
AsteroidFieldPlacement_SetNumTilesPerAxis,AsteroidFieldPlacement,SetNumTilesPerAxis,AsteroidFieldPlacement,direct
BaseObjectClass_SetScale,AsteroidFieldPlacement,SetScale,BaseObjectClass,direct
ObjectClass_SetScannable,AsteroidFieldPlacement,SetScannable,ObjectClass,direct
PlacementObject_SetStatic,AsteroidFieldPlacement,SetStatic,PlacementObject,direct
BaseObjectClass_SetTranslate,AsteroidFieldPlacement,SetTranslate,BaseObjectClass,direct
BaseObjectClass_SetTranslateXYZ,AsteroidFieldPlacement,SetTranslateXYZ,BaseObjectClass,direct
AsteroidFieldPlacement_Update,AsteroidFieldPlacement,Update,AsteroidFieldPlacement,direct
BaseObjectClass_UpdateNodeOnly,AsteroidFieldPlacement,UpdateNodeOnly,BaseObjectClass,direct
TGEventHandlerObject_AddPythonFuncHandlerForInstance,AsteroidFieldPlacementPtr,AddPythonFuncHandlerForInstance,TGEventHandlerObject,direct
TGEventHandlerObject_AddPythonMethodHandlerForInstance,AsteroidFieldPlacementPtr,AddPythonMethodHandlerForInstance,TGEventHandlerObject,direct
ObjectClass_AlignToObject,AsteroidFieldPlacementPtr,AlignToObject,ObjectClass,direct
BaseObjectClass_AlignToVectors,AsteroidFieldPlacementPtr,AlignToVectors,BaseObjectClass,direct
BaseObjectClass_AttachObject,AsteroidFieldPlacementPtr,AttachObject,BaseObjectClass,direct
TGEventHandlerObject_CallNextHandler,AsteroidFieldPlacementPtr,CallNextHandler,TGEventHandlerObject,direct
ObjectClass_CanTargetObject,AsteroidFieldPlacementPtr,CanTargetObject,ObjectClass,direct
AsteroidFieldPlacement_ConfigField,AsteroidFieldPlacementPtr,ConfigField,AsteroidFieldPlacement,direct
TGObject_Destroy,AsteroidFieldPlacementPtr,Destroy,TGObject,direct
BaseObjectClass_DetachObject,AsteroidFieldPlacementPtr,DetachObject,BaseObjectClass,direct
FindContainingSet,AsteroidFieldPlacementPtr,FindContainingSet,,python_wrapper
GetAnimNode,AsteroidFieldPlacementPtr,GetAnimNode,,python_wrapper
AsteroidFieldPlacement_GetAsteroidSizeFactor,AsteroidFieldPlacementPtr,GetAsteroidSizeFactor,AsteroidFieldPlacement,direct
TGAttrObject_GetAttrInt,AsteroidFieldPlacementPtr,GetAttrInt,TGAttrObject,direct
TGAttrObject_GetAttrValue,AsteroidFieldPlacementPtr,GetAttrValue,TGAttrObject,direct
ObjectClass_GetCollisionFlags,AsteroidFieldPlacementPtr,GetCollisionFlags,ObjectClass,direct
GetContainingSet,AsteroidFieldPlacementPtr,GetContainingSet,,python_wrapper
GetDisplayName,AsteroidFieldPlacementPtr,GetDisplayName,,python_wrapper
GetField,AsteroidFieldPlacementPtr,GetField,,python_wrapper
AsteroidFieldPlacement_GetFieldRadius,AsteroidFieldPlacementPtr,GetFieldRadius,AsteroidFieldPlacement,direct
ObjectClass_GetLocalRandomPointAndNormalOnModel,AsteroidFieldPlacementPtr,GetLocalRandomPointAndNormalOnModel,ObjectClass,direct
PlacementObject_GetModelName,AsteroidFieldPlacementPtr,GetModelName,PlacementObject,direct
BaseObjectClass_GetName,AsteroidFieldPlacementPtr,GetName,BaseObjectClass,direct
GetNiObject,AsteroidFieldPlacementPtr,GetNiObject,,python_wrapper
GetNode,AsteroidFieldPlacementPtr,GetNode,,python_wrapper
AsteroidFieldPlacement_GetNumAsteroidsPerTile,AsteroidFieldPlacementPtr,GetNumAsteroidsPerTile,AsteroidFieldPlacement,direct
AsteroidFieldPlacement_GetNumTilesPerAxis,AsteroidFieldPlacementPtr,GetNumTilesPerAxis,AsteroidFieldPlacement,direct
TGObject_GetObjID,AsteroidFieldPlacementPtr,GetObjID,TGObject,direct
TGObject_GetObjType,AsteroidFieldPlacementPtr,GetObjType,TGObject,direct
ObjectClass_GetRadius,AsteroidFieldPlacementPtr,GetRadius,ObjectClass,direct
GetRandomPointOnModel,AsteroidFieldPlacementPtr,GetRandomPointOnModel,,python_wrapper
GetRelativePositionInfo,AsteroidFieldPlacementPtr,GetRelativePositionInfo,,python_wrapper
GetRotation,AsteroidFieldPlacementPtr,GetRotation,,python_wrapper
BaseObjectClass_GetScale,AsteroidFieldPlacementPtr,GetScale,BaseObjectClass,direct
GetTranslate,AsteroidFieldPlacementPtr,GetTranslate,,python_wrapper
GetWorldBackwardTG,AsteroidFieldPlacementPtr,GetWorldBackwardTG,,python_wrapper
GetWorldDownTG,AsteroidFieldPlacementPtr,GetWorldDownTG,,python_wrapper
GetWorldForwardTG,AsteroidFieldPlacementPtr,GetWorldForwardTG,,python_wrapper
GetWorldLeftTG,AsteroidFieldPlacementPtr,GetWorldLeftTG,,python_wrapper
GetWorldLocation,AsteroidFieldPlacementPtr,GetWorldLocation,,python_wrapper
GetWorldRightTG,AsteroidFieldPlacementPtr,GetWorldRightTG,,python_wrapper
GetWorldRotation,AsteroidFieldPlacementPtr,GetWorldRotation,,python_wrapper
GetWorldUpTG,AsteroidFieldPlacementPtr,GetWorldUpTG,,python_wrapper
ObjectClass_IsHailable,AsteroidFieldPlacementPtr,IsHailable,ObjectClass,direct
